砸	2033
毁	2033
醋	2029
爪	2029
啧	2028
诺	2028
鉴	2028
扫	2017
脆	2012
沈	2010
昌	1999
盒	1992
莲	1988
触	1983
禁	1976
窗	1973
犀	1970
摔	1969
施	1967
伊	1966
姿	1966
烫	1963
贤	1956
幻	1945
森	1941
避	1940
洞	1932
尿	1932
澳	1930
添	1928
衰	1928
冇	1920
隆	1920
抄	1918
瘾	1914
氓	1910
抵	1906
旺	1904
兵	1904
盐	1900
悉	1896
罢	1895
+	1888
膜	1888
龟	1885
贼	1885
滋	1875
寨	1871
壳	1871
岂	1862
痘	1860
垃	1854
娇	1850
梁	1846
圾	1841
宽	1840
昏	1838
淋	1835
挥	1833
庭	1832
罚	1822
棍	1820
100	1817
贪	1816
吻	1815
判	1807
幽	1802
炎	1795
俊	1793
咸	1793
尸	1793
崩	1789
赤	1785
鲁	1782
扔	1778
盗	1775
赌	1773
迫	1771
椒	1768
夹	1765
噗	1759
挡	1757
趟	1754
锻	1753
霉	1749
符	1748
伯	1746
桂	1744
昆	1743
横	1743
愁	1742
钢	1737
滑	1736
囧	1735
稍	1734
革	1727
谦	1721
仁	1720
插	1719
勉	1718
协	1714
漏	1713
饺	1713
吊	1712
痒	1712
婷	1712
怨	1703
币	1702
巾	1700
炮	1699
眉	1695
恰	1695
叼	1694
奢	1693
苗	1692
灾	1687
叹	1687
孽	1686
芒	1679
宠	1677
丸	1677
岩	1676
孔	1670
荷	1667
洪	1664
艾	1660
铺	1659
挨	1658
浦	1649
税	1647
拒	1647
躲	1646
墨	1642
篮	1637
扭	1632
魅	1630
俾	1628
琐	1628
厂	1625
糟	1620
辆	1619
谷	1618
抛	1616
闺	1612
损	1609
捐	1608
屈	1602
核	1601
18	1601
卦	1598
尖	1596
焦	1595
彼	1593
猥	1590
授	1589
肌	1589
审	1584
刮	1581
恼	1575
甚	1574
谣	1568
妮	1567
舅	1567
奸	1563
池	1562
凯	1558
:	1555
董	1554
瑞	1554
伪	1553
啵	1553
粥	1553
仰	1553
晶	1548
倍	1547
溃	1544
娶	1543
诞	1537
柜	1537
桶	1537
央	1531
咦	1527
旗	1527
扑	1522
傲	1522
玲	1521
卜	1520
咒	1516
盼	1516
莉	1512
苍	1511
阶	1510
详	1506
悄	1506
卧	1505
兜	1501
锁	1501
浓	1499
荡	1493
葡	1491
15	1487
躁	1484
崇	1484
井	1484
悦	1483
钻	1482
辉	1478
俄	1475
挣	1473
浩	1472
译	1465
疆	1464
锋	1461
跌	1461
耻	1459
迈	1459
坡	1459
恢	1457
祥	1456
辟	1454
乔	1449
杜	1449
芝	1446
翔	1443
祈	1437
滨	1436
延	1436
萄	1436
踏	1433
汽	1431
歉	1430
晴	1428
涵	1428
哲	1427
兼	1417
绩	1416
县	1408
忒	1406
葱	1403
羽	1401
慌	1400
袖	1391
纱	1386
伍	1383
揍	1383
摇	1383
憋	1382
佐	1375
著	1372
寝	1368
梯	1367
袜	1364
甩	1360
佢	1359
蛇	1358
侧	1355
牵	1350
凭	1350
炫	1346
疗	1345
蹭	1344
虹	1344
侠	1342
晃	1341
泄	1338
潘	1335
佑	1333
抬	1333
趁	1332
摊	1331
忠	1327
瞬	1326
芳	1321
允	1320
鹅	1316
趴	1315
2012	1314
捡	1313
篇	1313
朗	1312
塔	1311
饰	1311
蒸	1309
绪	1300
衡	1295
页	1295
90后	1294
宋	1294
督	1292
滩	1291
伞	1290
绵	1288
脾	1285
浅	1284
寺	1283
菇	1282
肩	1281
；	1280
衫	1278
仿	1275
抹	1274
叉	1274
阻	1270
耀	1270
倾	1267
忌	1263
唤	1258
启	1257
胞	1252
辰	1250
届	1250
辞	1249
翅	1248
13	1247
赔	1246
乘	1246
库	1243
仇	1238
哄	1238
50	1238
狱	1236
啃	1233
污	1231
讯	1223
蔡	1221
叻	1215
牢	1215
尘	1214
亡	1213
柳	1209
悍	1202
棉	1201
煎	1200
薇	1200
岗	1197
侈	1188
盲	1188
账	1187
恒	1187
茄	1187
融	1186
歇	1182
衬	1182
坦	1182
扇	1181
揭	1180
涛	1176
括	1174
迅	1172
畅	1172
稿	1170
乳	1169
扁	1167
摘	1167
姥	1166
汁	1166
毫	1162
侣	1161
冤	1158
齿	1158
泽	1156
莎	1155
偿	1150
颠	1149
轰	1148
仪	1147
植	1144
驴	1142
杆	1141
遮	1140
召	1138
析	1138
蠢	1138
陀	1135
裂	1135
槽	1134
祷	1134
粮	1130
奏	1124
筋	1120
勿	1118
膀	1118
赐	1116
拐	1113
劈	1112
繁	1111
姜	1110
骄	1110
缩	1109
竹	1108
粑	1108
翘	1107
蜂	1106
